blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_09_abb05,0,spout01,nacl025,27,13.5,13.5,4.949747468305833
2022_05_09_abb05,0,spout02,nacl100,10,5,5,1.4142135623730951
2022_05_09_abb05,0,spout03,nacl000,29,14.5,14.5,2.1213203435596424
2022_05_09_abb05,0,spout04,nacl150,6,3,3,0
2022_05_09_abb05,0,spout05,nacl050,37,18.5,18.5,0.7071067811865476
2022_05_09_abb05,10,spout01,nacl025,32,16,16,0
2022_05_09_abb05,10,spout02,nacl100,12,6,6,1.4142135623730951
2022_05_09_abb05,10,spout03,nacl000,31,15.5,15.5,3.5355339059327378
2022_05_09_abb05,10,spout04,nacl150,5,2.5,2.5,0.7071067811865476
2022_05_09_abb05,10,spout05,nacl050,14,7,7,1.4142135623730951
2022_05_09_abb05,20,spout01,nacl025,36,18,18,0
2022_05_09_abb05,20,spout02,nacl100,7,3.5,3.5,0.7071067811865476
2022_05_09_abb05,20,spout03,nacl000,28,14,14,1.4142135623730951
2022_05_09_abb05,20,spout04,nacl150,9,4.5,4.5,0.7071067811865476
2022_05_09_abb05,20,spout05,nacl050,22,11,11,5.656854249492381
2022_05_09_abb05,30,spout01,nacl025,25,12.5,12.5,7.7781745930520225
2022_05_09_abb05,30,spout02,nacl100,6,3,3,0
2022_05_09_abb05,30,spout03,nacl000,30,15,15,4.242640687119285
2022_05_09_abb05,30,spout04,nacl150,6,3,3,0
2022_05_09_abb05,30,spout05,nacl050,26,13,13,7.0710678118654755
2022_05_09_abb05,40,spout01,nacl025,38,19,19,1.4142135623730951
2022_05_09_abb05,40,spout02,nacl100,8,4,4,1.4142135623730951
2022_05_09_abb05,40,spout03,nacl000,31,15.5,15.5,0.7071067811865476
2022_05_09_abb05,40,spout04,nacl150,7,3.5,3.5,0.7071067811865476
2022_05_09_abb05,40,spout05,nacl050,23,11.5,11.5,10.606601717798213
2022_05_09_abb05,50,spout01,nacl025,35,17.5,17.5,0.7071067811865476
2022_05_09_abb05,50,spout02,nacl100,5,2.5,2.5,0.7071067811865476
2022_05_09_abb05,50,spout03,nacl000,29,14.5,14.5,0.7071067811865476
2022_05_09_abb05,50,spout04,nacl150,10,5,5,1.4142135623730951
2022_05_09_abb05,50,spout05,nacl050,14,7,7,1.4142135623730951
2022_05_09_abb05,60,spout01,nacl025,2,1,1,0
2022_05_09_abb05,60,spout02,nacl100,3,1.5,1.5,0.7071067811865476
2022_05_09_abb05,60,spout03,nacl000,35,17.5,17.5,2.1213203435596424
2022_05_09_abb05,60,spout04,nacl150,7,3.5,3.5,2.1213203435596424
2022_05_09_abb05,60,spout05,nacl050,17,8.5,8.5,10.606601717798213
2022_05_09_abb05,70,spout01,nacl025,38,19,19,1.4142135623730951
2022_05_09_abb05,70,spout02,nacl100,3,1.5,1.5,0.7071067811865476
2022_05_09_abb05,70,spout03,nacl000,39,19.5,19.5,0.7071067811865476
2022_05_09_abb05,70,spout04,nacl150,6,3,3,0
2022_05_09_abb05,70,spout05,nacl050,14,7,7,7.0710678118654755
2022_05_09_abb05,80,spout01,nacl025,20,10,10,12.727922061357855
2022_05_09_abb05,80,spout02,nacl100,6,3,3,1.4142135623730951
2022_05_09_abb05,80,spout03,nacl000,37,18.5,18.5,0.7071067811865476
2022_05_09_abb05,80,spout04,nacl150,6,3,3,0
2022_05_09_abb05,80,spout05,nacl050,34,17,17,0
2022_05_09_abb05,90,spout01,nacl025,16,8,8,9.899494936611665
2022_05_09_abb05,90,spout02,nacl100,4,2,2,1.4142135623730951
2022_05_09_abb05,90,spout03,nacl000,33,16.5,16.5,0.7071067811865476
2022_05_09_abb05,90,spout04,nacl150,6,3,3,0
2022_05_09_abb05,90,spout05,nacl050,17,8.5,8.5,7.7781745930520225
