blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_20_abb03,0,spout01,sucrose20,40,20,20,1.4142135623730951
2022_04_20_abb03,0,spout02,sucrose30,40,20,20,2.8284271247461903
2022_04_20_abb03,0,spout03,sucrose05,39,19.5,19.5,0.7071067811865476
2022_04_20_abb03,0,spout04,sucrose10,42,21,21,1.4142135623730951
2022_04_20_abb03,0,spout05,sucrose00,34,17,17,1.4142135623730951
2022_04_20_abb03,10,spout01,sucrose20,30,15,15,8.48528137423857
2022_04_20_abb03,10,spout02,sucrose30,36,18,18,0
2022_04_20_abb03,10,spout03,sucrose05,36,18,18,2.8284271247461903
2022_04_20_abb03,10,spout04,sucrose10,44,22,22,1.4142135623730951
2022_04_20_abb03,10,spout05,sucrose00,39,19.5,19.5,0.7071067811865476
2022_04_20_abb03,20,spout01,sucrose20,35,17.5,17.5,2.1213203435596424
2022_04_20_abb03,20,spout02,sucrose30,36,18,18,2.8284271247461903
2022_04_20_abb03,20,spout03,sucrose05,27,13.5,13.5,0.7071067811865476
2022_04_20_abb03,20,spout04,sucrose10,38,19,19,0
2022_04_20_abb03,20,spout05,sucrose00,33,16.5,16.5,3.5355339059327378
2022_04_20_abb03,30,spout01,sucrose20,35,17.5,17.5,2.1213203435596424
2022_04_20_abb03,30,spout02,sucrose30,29,14.5,14.5,3.5355339059327378
2022_04_20_abb03,30,spout03,sucrose05,24,12,12,5.656854249492381
2022_04_20_abb03,30,spout04,sucrose10,36,18,18,1.4142135623730951
2022_04_20_abb03,30,spout05,sucrose00,31,15.5,15.5,0.7071067811865476
2022_04_20_abb03,40,spout01,sucrose20,15,7.5,7.5,10.606601717798213
2022_04_20_abb03,40,spout02,sucrose30,33,16.5,16.5,0.7071067811865476
2022_04_20_abb03,40,spout03,sucrose05,20,10,10,2.8284271247461903
2022_04_20_abb03,40,spout04,sucrose10,17,8.5,8.5,4.949747468305833
2022_04_20_abb03,40,spout05,sucrose00,26,13,13,1.4142135623730951
2022_04_20_abb03,50,spout01,sucrose20,15,7.5,7.5,10.606601717798213
2022_04_20_abb03,50,spout02,sucrose30,11,5.5,5.5,7.7781745930520225
2022_04_20_abb03,50,spout03,sucrose05,14,7,7,1.4142135623730951
2022_04_20_abb03,50,spout04,sucrose10,15,7.5,7.5,10.606601717798213
2022_04_20_abb03,50,spout05,sucrose00,5,2.5,2.5,0.7071067811865476
2022_04_20_abb03,60,spout01,sucrose20,11,5.5,5.5,7.7781745930520225
2022_04_20_abb03,60,spout02,sucrose30,19,9.5,9.5,3.5355339059327378
2022_04_20_abb03,60,spout03,sucrose05,0,0,0,0
2022_04_20_abb03,60,spout04,sucrose10,15,7.5,7.5,10.606601717798213
2022_04_20_abb03,60,spout05,sucrose00,11,5.5,5.5,7.7781745930520225
2022_04_20_abb03,70,spout01,sucrose20,0,0,0,0
2022_04_20_abb03,70,spout02,sucrose30,11,5.5,5.5,7.7781745930520225
2022_04_20_abb03,70,spout03,sucrose05,6,3,3,4.242640687119285
2022_04_20_abb03,70,spout04,sucrose10,1,0.5,0.5,0.7071067811865476
2022_04_20_abb03,70,spout05,sucrose00,14,7,7,9.899494936611665
2022_04_20_abb03,80,spout01,sucrose20,0,0,0,0
2022_04_20_abb03,80,spout02,sucrose30,13,6.5,6.5,7.7781745930520225
2022_04_20_abb03,80,spout03,sucrose05,19,9.5,9.5,2.1213203435596424
2022_04_20_abb03,80,spout04,sucrose10,6,3,3,0
2022_04_20_abb03,80,spout05,sucrose00,6,3,3,4.242640687119285
2022_04_20_abb03,90,spout01,sucrose20,0,0,0,0
2022_04_20_abb03,90,spout02,sucrose30,0,0,0,0
2022_04_20_abb03,90,spout03,sucrose05,0,0,0,0
2022_04_20_abb03,90,spout04,sucrose10,0,0,0,0
2022_04_20_abb03,90,spout05,sucrose00,0,0,0,0
