blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_19_abb05,0,spout01,sucrose30,38,19,19,1.4142135623730951
2022_04_19_abb05,0,spout02,sucrose10,40,20,20,0
2022_04_19_abb05,0,spout03,sucrose20,10,5,5,2.8284271247461903
2022_04_19_abb05,0,spout04,sucrose00,39,19.5,19.5,4.949747468305833
2022_04_19_abb05,0,spout05,sucrose05,30,15,15,4.242640687119285
2022_04_19_abb05,10,spout01,sucrose30,36,18,18,1.4142135623730951
2022_04_19_abb05,10,spout02,sucrose10,34,17,17,1.4142135623730951
2022_04_19_abb05,10,spout03,sucrose20,31,15.5,15.5,0.7071067811865476
2022_04_19_abb05,10,spout04,sucrose00,41,20.5,20.5,0.7071067811865476
2022_04_19_abb05,10,spout05,sucrose05,24,12,12,5.656854249492381
2022_04_19_abb05,20,spout01,sucrose30,32,16,16,1.4142135623730951
2022_04_19_abb05,20,spout02,sucrose10,27,13.5,13.5,2.1213203435596424
2022_04_19_abb05,20,spout03,sucrose20,24,12,12,0
2022_04_19_abb05,20,spout04,sucrose00,30,15,15,1.4142135623730951
2022_04_19_abb05,20,spout05,sucrose05,20,10,10,0
2022_04_19_abb05,30,spout01,sucrose30,30,15,15,0
2022_04_19_abb05,30,spout02,sucrose10,28,14,14,7.0710678118654755
2022_04_19_abb05,30,spout03,sucrose20,25,12.5,12.5,6.363961030678928
2022_04_19_abb05,30,spout04,sucrose00,22,11,11,1.4142135623730951
2022_04_19_abb05,30,spout05,sucrose05,12,6,6,2.8284271247461903
2022_04_19_abb05,40,spout01,sucrose30,33,16.5,16.5,0.7071067811865476
2022_04_19_abb05,40,spout02,sucrose10,20,10,10,5.656854249492381
2022_04_19_abb05,40,spout03,sucrose20,8,4,4,2.8284271247461903
2022_04_19_abb05,40,spout04,sucrose00,9,4.5,4.5,0.7071067811865476
2022_04_19_abb05,40,spout05,sucrose05,11,5.5,5.5,0.7071067811865476
2022_04_19_abb05,50,spout01,sucrose30,29,14.5,14.5,3.5355339059327378
2022_04_19_abb05,50,spout02,sucrose10,16,8,8,4.242640687119285
2022_04_19_abb05,50,spout03,sucrose20,27,13.5,13.5,2.1213203435596424
2022_04_19_abb05,50,spout04,sucrose00,12,6,6,1.4142135623730951
2022_04_19_abb05,50,spout05,sucrose05,8,4,4,1.4142135623730951
2022_04_19_abb05,60,spout01,sucrose30,20,10,10,1.4142135623730951
2022_04_19_abb05,60,spout02,sucrose10,11,5.5,5.5,2.1213203435596424
2022_04_19_abb05,60,spout03,sucrose20,12,6,6,4.242640687119285
2022_04_19_abb05,60,spout04,sucrose00,8,4,4,4.242640687119285
2022_04_19_abb05,60,spout05,sucrose05,11,5.5,5.5,0.7071067811865476
2022_04_19_abb05,70,spout01,sucrose30,18,9,9,0
2022_04_19_abb05,70,spout02,sucrose10,18,9,9,7.0710678118654755
2022_04_19_abb05,70,spout03,sucrose20,14,7,7,0
2022_04_19_abb05,70,spout04,sucrose00,7,3.5,3.5,0.7071067811865476
2022_04_19_abb05,70,spout05,sucrose05,5,2.5,2.5,2.1213203435596424
2022_04_19_abb05,80,spout01,sucrose30,19,9.5,9.5,2.1213203435596424
2022_04_19_abb05,80,spout02,sucrose10,14,7,7,2.8284271247461903
2022_04_19_abb05,80,spout03,sucrose20,7,3.5,3.5,4.949747468305833
2022_04_19_abb05,80,spout04,sucrose00,5,2.5,2.5,2.1213203435596424
2022_04_19_abb05,80,spout05,sucrose05,10,5,5,1.4142135623730951
2022_04_19_abb05,90,spout01,sucrose30,18,9,9,1.4142135623730951
2022_04_19_abb05,90,spout02,sucrose10,25,12.5,12.5,0.7071067811865476
2022_04_19_abb05,90,spout03,sucrose20,8,4,4,0
2022_04_19_abb05,90,spout04,sucrose00,2,1,1,1.4142135623730951
2022_04_19_abb05,90,spout05,sucrose05,4,2,2,0
