blockname,trial_num,time_bin,count_binned,trial_start_ts,spout,trial_num_tastant,time_bin_width,experiment,cohort,date,solution,solution_type,solution_value
2022_05_30_abb07,1,0,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,100,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,200,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,300,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,400,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,500,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,600,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,700,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,800,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,900,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1000,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1100,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1200,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1300,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1400,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1500,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1600,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1700,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1800,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,1900,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2000,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2100,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2200,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2300,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2400,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2500,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2600,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2700,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2800,0,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,1,2900,1,10431,spout05,1,100,abb,2,5/30/2022,sucrose10,sucrose,10
2022_05_30_abb07,2,0,0,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,100,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,200,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,300,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,400,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,500,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,600,0,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,700,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,800,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,900,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1000,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1100,0,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1200,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1300,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1400,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1500,0,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1600,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1700,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1800,0,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,1900,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,2000,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,2100,1,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
2022_05_30_abb07,2,2200,0,25016,spout04,1,100,abb,2,5/30/2022,sucrose30,sucrose,30
